20,14,19,14
19,14,19,15
19,15,19,16
20,17,21,17
21,17,22,17
22,17,23,17
22,18,21,18
21,18,20,18
20,18,19,18
19,18,18,18
18,18,17,18
17,18,16,18
16,18,16,19
16,19,16,20
20,14,19,14
19,14,19,15
19,15,19,16
20,17,21,17
21,17,22,17
22,17,23,17
22,18,21,18
21,18,20,18
20,18,19,18
19,18,18,18
18,18,17,18
17,18,16,18
16,18,16,19
16,19,16,20
20,14,19,14
19,14,19,15
19,15,19,16
20,17,21,17
21,17,22,17
22,17,23,17
22,18,21,18
21,18,20,18
20,18,19,18
19,18,18,18
18,18,17,18
17,18,16,18
16,18,16,19
16,19,16,20
20,14,19,14
19,14,19,15
19,15,19,16
20,17,21,17
21,17,22,17
22,17,23,17
22,18,21,18
21,18,20,18
20,18,19,18
19,18,18,18
18,18,17,18
17,18,16,18
16,18,16,19
16,19,16,20
20,14,19,14
19,14,19,15
19,15,19,16
20,17,21,17
21,17,22,17
22,17,23,17
22,18,21,18
21,18,20,18
20,18,19,18
19,18,18,18
18,18,17,18
17,18,16,18
16,18,16,19
16,19,16,20
20,14,19,14
19,14,19,15
19,15,19,16
20,17,21,17
21,17,22,17
22,17,23,17
22,18,21,18
21,18,20,18
20,18,19,18
19,18,18,18
18,18,17,18
17,18,16,18
16,18,16,19
16,19,16,20
20,14,19,14
19,14,19,15
19,15,19,16
20,17,21,17
21,17,22,17
22,17,23,17
22,18,21,18
21,18,20,18
20,18,19,18
19,18,18,18
18,18,17,18
17,18,16,18
16,18,16,19
16,19,16,20
20,14,19,14
19,14,19,15
19,15,19,16
20,17,21,17
21,17,22,17
22,17,23,17
22,18,21,18
21,18,20,18
20,18,19,18
19,18,18,18
18,18,17,18
17,18,16,18
16,18,16,19
16,19,16,20
